id;nome;cognome;username;password;dataDiNascita;nazione;citta;indirizzo;ruolo;ristoranti
1;Laney;Siebart;lsiebart0;6d8b1f3e81ffb5d024b5e8e62d76fe838b708337458847ac308805dd19ef7bf0;17/11/2025;France;Bordeaux;Room 1007;CLIENTE;[]
2;Eolande;Fabri;efabri1;ea56fe06c0a427de2b7cc312a181d11d1e8f3020f234a81ad6f9564b6d31a53b;27/09/2025;Indonesia;Oni;3rd Floor;RISTORATORE;[]
3;Katleen;Chartres;kchartres2;c8c4186641ec55f208a9cf6956945ce139eb8c0410104b6e6357a4a4b7b2b6a6;01/09/2025;Ireland;Dundrum;PO Box 12289;CLIENTE;[]
4;Chrisy;Corbie;ccorbie3;9a76179736af62655d39f688178961caf89a90d946f8a9db627f8f798ece61f9;06/08/2025;China;Guanmian;15th Floor;RISTORATORE;[]
5;Ronalda;Blanch;rblanch4;3ffac0b07e0ce06b90a0c77af848eb5b5f0f182f5b74d385f50017144ca4abaf;29/07/2025;China;Jianxi;17th Floor;CLIENTE;[]
6;Iona;Zanutti;izanutti5;49f617f159f9568e990648f0d37282f9992b181693f94f052813a6b40a3398ad;04/12/2025;China;Xinhua;PO Box 39927;CLIENTE;[]
7;Rickie;Sambeck;rsambeck6;ef4dcebec37b527add12ae91f31e88094e8943b7a03a1cc1569a1be6e350f991;11/10/2025;China;Jiuhe;9th Floor;RISTORATORE;[]
8;Nevin;Bagger;nbagger7;9e3beb6f92befd2145c23ee4bdad568f1fa937528c3c1c11b4a698b014e497e3;31/07/2025;Philippines;Bancal;Apt 361;RISTORATORE;[]
9;Gary;Brason;gbrason8;a8a7528a639c90fb3d00296cea88e53c20c1d572dcb418fd5077942dfdbec1ec;16/11/2025;North Korea;Kilju;PO Box 61394;RISTORATORE;[]
10;Sanson;Christoffe;schristoffe9;cba2e22ba6363b69030f63f0b49f572bee1855eeea5f822e47556effab5662ed;02/07/2025;Poland;Koszęcin;Apt 1320;RISTORATORE;[]
11;Harmony;Skillanders;hskillandersa;bb1be352d0bf4d339a897285a413efc57a733201f92068eee1e44ccf017e98b9;17/10/2025;Denmark;København;Suite 4;CLIENTE;[]
12;Barrie;Dach;bdachb;6d2f8821e6e5a754ac91b9c2bd7fa35c2b33ba88b48a1254bcbaf6e787c3f42a;13/11/2025;Guatemala;San Bartolomé Milpas Altas;Apt 521;RISTORATORE;[]
13;Ricoriki;Dive;rdivec;2cdd3c8afd7f04e3223413dc06978adc84db61e6169b5c2bf77ef5c0238c4969;11/02/2025;Greece;Graikochóri;Suite 24;CLIENTE;[]
14;Tania;Godleman;tgodlemand;d2839118b1c5c886a5a1479a30c468e48a8ec4bcce7dc97482c3b645ec7e1600;05/03/2025;Afghanistan;Ārt Khwājah;Suite 99;CLIENTE;[]
15;Jude;Horsfield;jhorsfielde;8861da497d07e6584ea994f238fa9b4be1b8f3190dc2436602589ca11c8da8f5;24/01/2026;China;Qingu;Apt 1955;CLIENTE;[]
16;Katti;Mariolle;kmariollef;eba112a2a2d23664cadffab097045e0c2b38b7366eaf5f8a0948f01fc91b542d;17/01/2026;Germany;Augsburg;Apt 384;RISTORATORE;[]
17;Westleigh;Kempston;wkempstong;36d39ae93d59b7f782b114700898533fc61d47e0f2cff68b254ba69b21b30429;11/09/2025;China;Shantoudian;Suite 90;CLIENTE;[]
18;Ethel;Clavering;eclaveringh;1edef35a1176670b2eedcc0f8ad643cdd309ae601d9140049185a1296427285c;31/01/2025;China;Tengjia;PO Box 86012;CLIENTE;[]
19;Staford;Leither;sleitheri;226c31a0d37ab2ae5240006ff64bbae9d6fe9600fcc6f99571013f86dd9b5ce6;01/03/2025;Poland;Przodkowo;PO Box 12374;CLIENTE;[]
20;Meaghan;Beche;mbechej;8a6d75337304a087d4edd6ac78c08bc5b4d876d7d35681fb40f6d17bd94eabea;04/06/2025;Poland;Oksa;9th Floor;RISTORATORE;[]
21;Michelina;Naptine;mnaptinek;30d0f5dc662c57e0c5ba6c8b90da52503f73ff2f7f1795000aa3f913025ea2bd;06/01/2026;Brazil;Ribeirão Preto;PO Box 17954;CLIENTE;[]
22;Seana;Shimman;sshimmanl;0a69e9e190129862b7694b76ba041a82f008b5de985edd159d29fa1a4c110f71;18/12/2025;Malaysia;Seremban;Suite 66;RISTORATORE;[]
23;Valida;Tokley;vtokleym;6ae61a2565ba43df58b3854a1d6c24db56de765a8eb43db3b8028e5042ec62a3;10/04/2025;China;Fengcheng;Suite 27;RISTORATORE;[]
24;Nikolai;Wiffill;nwiffilln;1c1c102d9d2bac12b0c1e816ebd866b3b92a6c39450b764057fd87a91dbf25de;03/09/2025;Philippines;Navotas;9th Floor;RISTORATORE;[]
25;Kennie;Luis;kluiso;0510344c2a657ed3cd2fba9e7334aa8441f90d80c47243a0fdac414f0f225794;04/09/2025;China;Lingbei;PO Box 11477;CLIENTE;[]
26;Gustavus;Gabits;ggabitsp;df526371f12f46c93d22c66e5b243c503aee813e51bbc96c253106cd9d9d53b7;13/01/2026;China;Meilin;Suite 93;RISTORATORE;[]
27;Raphaela;Guinn;rguinnq;20868724ecc5b6d0a4cbac97b0c87b409919a26c544b92cfbc7fa6cebc842c5b;22/12/2025;South Africa;Ixopo;Room 52;CLIENTE;[]
28;Minette;Chinn;mchinnr;6c4ca8e97aa74ffd5a1b7b3123ca3aa184a9eeb563e594004bc9599f5e4f85df;04/08/2025;Japan;Takeo;15th Floor;RISTORATORE;[]
