id;nome;cognome;username;password;dataDiNascita;nazione;citta;indirizzo;ruolo;ristoranti
1;Laney;Siebart;lsiebart0;0x6aM293EdNt/yKiQcVVg3MIRFMylxr1JT8oqkdx228=;17/11/2025;France;Bordeaux;Room 1007;CLIENTE;[]
2;Eolande;Fabri;efabri1;heVymy4HLQDerXHCCXLGl30qJ9lqv0e+X3PXdxHoduw=;27/09/2025;Indonesia;Oni;3rd Floor;RISTORATORE;[]
3;Katleen;Chartres;kchartres2;Puj3DmnIHRuqBUJjR9p8mDu/fSY5xlYpG+Zf2s7AVMQ=;01/09/2025;Ireland;Dundrum;PO Box 12289;CLIENTE;[]
4;Chrisy;Corbie;ccorbie3;k120U7d9c4oDU3dbVUY5vxofy0mu51hhhpv/jk6Xq7g=;06/08/2025;China;Guanmian;15th Floor;RISTORATORE;[]
5;Ronalda;Blanch;rblanch4;7H7/Vyh5zTVUKV2MIIy0GLi6ebARJKfjH2nKGxdAhJw=;29/07/2025;China;Jianxi;17th Floor;CLIENTE;[]
6;Iona;Zanutti;izanutti5;S4dR/acHXYDHarfhOlObuDqF26zWKQP1zfmSJ3OhHU0=;04/12/2025;China;Xinhua;PO Box 39927;CLIENTE;[]
7;Rickie;Sambeck;rsambeck6;s1y0O+W8AxKia8XjyMq4nKPBR98XQ7FMNqqU8pLOBZk=;11/10/2025;China;Jiuhe;9th Floor;RISTORATORE;[]
8;Nevin;Bagger;nbagger7;aF3y+bHeeY2uThwP1+SFO6VPBYO6BTo4r22OdIVfoA4=;31/07/2025;Philippines;Bancal;Apt 361;RISTORATORE;[]
9;Gary;Brason;gbrason8;4vtnv4uT2imTt9HdU9cAvQ8x9QTNZudx4ZsiQVTqtf4=;16/11/2025;North Korea;Kilju;PO Box 61394;RISTORATORE;[]
10;Sanson;Christoffe;schristoffe9;U0sQby0xoW8UbuOC3AZBQ9riTNWllTWI0WlO8mCCLZ4=;02/07/2025;Poland;Koszęcin;Apt 1320;RISTORATORE;[]
11;Harmony;Skillanders;hskillandersa;dSwft0fKsi3aMwyPFRn3P5CuCiwmTz0yABEfx0FwaC8=;17/10/2025;Denmark;København;Suite 4;CLIENTE;[]
12;Barrie;Dach;bdachb;sghVuaC8tBua79WLcMEVuFMnG2k1U0MpR9EG90bbs1M=;13/11/2025;Guatemala;San Bartolomé Milpas Altas;Apt 521;RISTORATORE;[]
13;Ricoriki;Dive;rdivec;hfNxY391r9Ac1oMFvBHRR/qVomQxn0+JJXOTKVQpstk=;11/02/2025;Greece;Graikochóri;Suite 24;CLIENTE;[]
14;Tania;Godleman;tgodlemand;JfW6jxmU6W6lpKXfAjQbn1oUSAiZcAuIwmJ7tpeCmzY=;05/03/2025;Afghanistan;Ārt Khwājah;Suite 99;CLIENTE;[]
15;Jude;Horsfield;jhorsfielde;VtEGhDKgZdQS0yyEXMbEBMwmdpYmIQaCU0L9++sR028=;24/01/2026;China;Qingu;Apt 1955;CLIENTE;[]
16;Katti;Mariolle;kmariollef;lbRE1FviMRka+X/iMDNXDwvkNv3cX4KyiPAxkBRIKM8=;17/01/2026;Germany;Augsburg;Apt 384;RISTORATORE;[]
17;Westleigh;Kempston;wkempstong;WAN8LIauL3vVbfy0HWD914WGvtx8xvFNw1KdnMLSBXE=;11/09/2025;China;Shantoudian;Suite 90;CLIENTE;[]
